2016-03-19 12:46:23,281 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:46:23,316 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\test\resources
2016-03-19 12:46:23,317 [Worker-45] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ram
2016-03-19 12:46:23,327 [Worker-45] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ram
2016-03-19 12:46:23,335 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:46:51,937 [Worker-49] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-03-19 12:46:52,175 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.mum.cs:FinalExamJPA:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\ram\pom.xml.
2016-03-19 12:46:52,601 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:46:53,104 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:46:53,275 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:46:53,735 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ram/src/main/java because it overlaps with /ram/src
2016-03-19 12:46:53,743 [Worker-49] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ram/src/test/java because it overlaps with /ram/src
2016-03-19 12:46:55,159 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.mum.cs:FinalExamJPA:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\ram\pom.xml.
2016-03-19 12:46:55,174 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
